食物类 Food group,食物名称 Food name,鸟嘌呤 Guanine,腺嘌呤 Adenine,次黄嘌呤 Hypoxanthine,黄嘌呤 Xanthine,总嘌呤 Purine,采样地 Sampling site
谷类及制品,面包（带皮）,24.8,22.7,0.9,2.5,51,黑龙江
谷类及制品,面包（去皮）,24.4,23.1,0.6,1.5,50,黑龙江
谷类及制品,花卷,21.6,22.8,0.4,0.2,45,黑龙江
谷类及制品,全麦粉,20.7,20.9,0.3,0.3,42,黑龙江
谷类及制品,麻花,18.6,18.2,0.7,1.9,39,黑龙江
谷类及制品,富强粉,17,17.2,0.8,1.6,37,黑龙江
谷类及制品,煎饼（大米味）,17.3,16.4,0.5,1.3,36,黑龙江
谷类及制品,馒头,14.5,12.5,0.3,0.1,27,黑龙江
谷类及制品,油饼,14.5,12.4,Tr,0.1,27,黑龙江
谷类及制品,烧饼,13,13.4,0.1,0.2,27,黑龙江
谷类及制品,北大荒饺子粉,12.4,13.2,0.1,0.7,26,黑龙江
谷类及制品,面粉,13.7,11.2,0.2,0.7,26,黑龙江
谷类及制品,小麦粉（绍兴）,12,11.5,0.7,1.3,25,浙江
谷类及制品,小麦粉（杭州）,10.4,10.4,0.2,1.2,22,浙江
谷类及制品,挂面,11.6,9.3,0.2,0.3,21,黑龙江
谷类及制品,高筋粉,17.8,0.4,Tr,2.6,21,黑龙江
谷类及制品,油条,9.4,10,Tr,0.1,19,黑龙江
谷类及制品,雪花粉（润良牌）,8.9,8.5,0.2,0.9,18,黑龙江
谷类及制品,饺子粉（鹤泉牌）,7.8,8.2,0.2,1.1,17,黑龙江
谷类及制品,虎皮糕,6.4,6.2,Tr,Tr,13,黑龙江
谷类及制品,长白糕,5.8,6.7,Tr,Tr,13,黑龙江
谷类及制品,黑米,41.8,19.7,1.2,Tr,63,黑龙江
谷类及制品,糯米,22.1,20.4,Tr,7.9,50,广东
谷类及制品,江米,32.3,14,1.1,0.5,48,黑龙江
谷类及制品,大米,21.4,19.5,0.1,3.1,44,广东
谷类及制品,稻花香米,20.6,19.4,0.1,0.7,41,黑龙江
谷类及制品,五常香米,16.1,10.1,3.8,4.4,34,黑龙江
谷类及制品,六三九米,18.3,16.8,0.1,Tr,35,黑龙江
谷类及制品,普通大米,18,16.4,0.1,Tr,35,黑龙江
谷类及制品,糙米,18.8,13.8,1.2,0.9,35,黑龙江
谷类及制品,红米,18.4,11.9,1.3,1.3,33,黑龙江
谷类及制品,粳米,16.1,14.6,Tr,0.4,31,浙江
谷类及制品,油炸糕,10,10.2,0.4,Tr,21,黑龙江
谷类及制品,肉粽子,9.9,6.4,0.7,0.8,18,黑龙江
谷类及制品,意米,8.6,6.1,0.2,Tr,15,黑龙江
谷类及制品,粽子,7.8,3.9,0.3,Tr,12,黑龙江
谷类及制品,煎饼（玉米味）,24.6,20.4,0.1,0.6,46,黑龙江
谷类及制品,玉米面发糕,8.6,9.5,0.4,0.2,19,黑龙江
谷类及制品,玉米面,5.4,5.8,0.1,0.3,12,黑龙江
谷类及制品,小僮子,4.2,4.8,0.1,0.7,10,黑龙江
谷类及制品,大管子,3.5,3.9,0.1,0.4,8,黑龙江
谷类及制品,大麦,21.8,19,6.1,Tr,47,黑龙江
谷类及制品,八家子小米,9.7,9.7,0.1,0.7,20,黑龙江
谷类及制品,小米,9.6,9.6,Tr,0.9,20,黑龙江
谷类及制品,黄米,8.7,7.4,0.2,0.2,16,黑龙江
谷类及制品,燕麦,29.5,28.4,0.8,Tr,59,黑龙江
谷类及制品,养麦,16.8,15.9,0.5,0.6,34,黑龙江
谷类及制品,雪饼,14.7,12.7,0.2,Tr,28,黑龙江
谷类及制品,高粱米,9.3,5.6,0.2,Tr,15,黑龙江
薯类、淀粉及制品,甘薯（紫心，杭州）,7.9,11.6,Tr,4.5,24,浙江
薯类、淀粉及制品,"甘薯（红心,杭州）",6.4,8.2,0.4,3.7,19,浙江
薯类、淀粉及制品,地瓜,5.2,6.6,0.2,1.5,13,浙江
薯类、淀粉及制品,马铃薯,6,6.3,0.2,0.5,13,黑龙江
薯类、淀粉及制品, 红薯（红心、杭州）,4.6,5.9,Tr,1.5,12,浙江
薯类、淀粉及制品,木薯,2.8,5.3,1.1,1.3,10,广东
薯类、淀粉及制品, 土豆淀粉,1.2,1.7,0.1,2.1,5,黑龙江
薯类、淀粉及制品,拉皮,0.2,1.5,1,0.8,3,黑龙江
薯类、淀粉及制品,粉条,1.1,1,0.1,Tr,2,黑龙江
薯类、淀粉及制品,番薯粉干,0.5,1.5,0.1,0.2,2,浙江
干豆类及制品,干豆腐（南豆腐）,54.4,38.7,0.3,0.4,94,黑龙江
干豆类及制品,黄豆,101.7,113.3,0.3,2.9,218,黑龙江
干豆类及制品,黄豆,89.2,94.6,0.7,1.5,186,广东
干豆类及制品,黑豆,77.6,84.3,0.7,7.9,170,黑龙江
干豆类及制品,豆粉,80.6,83.9,1,2.1,167,黑龙江
干豆类及制品,腐竹,63.1,93,0.9,2.8,160,黑龙江
干豆类及制品,豆皮,74.1,77,0.3,5.8,157,北京
干豆类及制品,纳豆,41.9,39.4,8.6,20.5,110,北京
干豆类及制品,豆腐渣,64.1,43.7,0.3,1,109,黑龙江
干豆类及制品,内酯豆腐,54.3,44.2,0.3,1.3,100,黑龙江
干豆类及制品,豆制品,39.8,47.3,0.3,1.7,89,北京
干豆类及制品,水豆腐（北豆腐）,39.2,26.1,0.8,1.6,68,黑龙江
干豆类及制品,"生豆浆（20%,无糖）",31.7,25,3.4,3,63,黑龙江
干豆类及制品,"生豆浆（15%,无糖）",25.5,18.4,1.9,Tr,46,黑龙江
干豆类及制品," 生豆浆（10%,无糖）",16.4,11.4,1.2,Tr,29,黑龙江
干豆类及制品,熟豆浆（甜）,15,10.3,1.3,2.3,29,黑龙江
干豆类及制品,"生豆浆（5%,无糖）",10.3,7,0.9,Tr,18,黑龙江
干豆类及制品,"生豆浆（2.5%,无糖）",4.7,3.5,0.3,Tr,8,黑龙江
干豆类及制品,绿豆,88.9,102.5,0.5,3.8,196,黑龙江
干豆类及制品,红小豆,64.7,80.3,0.1,11.2,156,黑龙江
干豆类及制品,白芸豆,52.4,65.5,3.5,3.5,125,黑龙江
干豆类及制品,花芸豆,48.7,64.8,0.3,4.2,118,黑龙江
干豆类及制品,蚕豆,132.2,161.6,7.9,5.4,307,黑龙江
蔬菜类及制品,微豆,75.9,89.4,0.3,9,175,广东
蔬菜类及制品,胡萝卜,6.5,5.7,1.8,3,17,黑龙江
蔬菜类及制品,水萝卜,5.4,5.2,0.8,2.1,14,黑龙江
蔬菜类及制品,红萝卜,5.4,4.5,1,2.3,13,黑龙江
蔬菜类及制品,白萝卜,3.4,3.1,1.8,2.8,11,黑龙江
蔬菜类及制品,白萝卜,3.7,3.8,1,0.7,9,广东
蔬菜类及制品,豌豆,40.6,35.4,0.9,9.2,86,黑龙江
蔬菜类及制品,豆E豆角,24.6,19.6,0.2,1.1,45,黑龙江
蔬菜类及制品,豆角,21.8,16.1,0.2,1.7,40,黑龙江
蔬菜类及制品,黄豆芽,18.2,9.6,0.4,0.5,29,黑龙江
蔬菜类及制品,四季豆,11,10.1,0.1,2.1,23,广东
蔬菜类及制品,绿豆芽,5.3,3.8,0.3,1.7,11,黑龙江
蔬菜类及制品,南瓜,8.3,15.1,0.6,5.5,29,黑龙江
蔬菜类及制品,蛇瓜,8,9.2,2.3,3.2,23,黑龙江
蔬菜类及制品,西葫芦,7.8,9.8,0.2,2.5,20,黑龙江
蔬菜类及制品,番茄［西红柿］,5.2,8.9,1.9,0.9,17,黑龙江
蔬菜类及制品,倭瓜,5.2,7.7,2.5,Tr,15,黑龙江
蔬菜类及制品,丝瓜,4.9,5.9,2,1.5,14,黑龙江
蔬菜类及制品,茄子（紫皮，长）,6,4,1.4,2,13,黑龙江
蔬菜类及制品,苦瓜,3.9,4.2,1.3,2.7,12,黑龙江
蔬菜类及制品,黄瓜,4.6,4.6,1.7,0.2,11,黑龙江
蔬菜类及制品,木瓜,2.2,2.2,0.3,2.4,7,广东
蔬菜类及制品,尖椒,2.6,1,1.9,0.6,6,黑龙江
蔬菜类及制品,青椒,2.2,1.2,1.6,0.6,6,黑龙江
蔬菜类及制品,冬瓜,0.3,0.3,0.1,0.4,1,黑龙江
蔬菜类及制品,大葱,12.2,15,Tr,3.4,31,黑龙江
蔬菜类及制品,香葱,8.9,11.4,1,3.6,25,黑龙江
蔬菜类及制品,西兰花［绿菜花］,13.4,12.8,3.7,28.2,58,黑龙江
蔬菜类及制品,菜花［花椰菜］,12.4,13.2,3.1,12.3,41,黑龙江
蔬菜类及制品,香椿,7.3,9.4,4.1,19.2,40,黑龙江
蔬菜类及制品,茴香,8.8,12.4,1,16.2,38,黑龙江
蔬菜类及制品,黄花菜（干）,4.8,20.9,1.2,5.6,32,黑龙江
蔬菜类及制品,芟白,6,6.2,1.7,9.4,23,黑龙江
蔬菜类及制品,空心菜,10.5,10.1,1.2,0.4,22,黑龙江
蔬菜类及制品,香菜,8.1,11.1,0.3,1.5,21,黑龙江
蔬菜类及制品,芥蓝,6.5,7.6,1,3.9,19,黑龙江
蔬菜类及制品,酸白菜［酸菜］,3.6,4,0.9,8.7,17,黑龙江
蔬菜类及制品,菜心,6.7,6.3,1.1,3,17,黑龙江
蔬菜类及制品,油菜,7.3,7.8,0.4,1.1,17,黑龙江
蔬菜类及制品,生菜,4.8,5,2.7,4.1,16,黑龙江
蔬菜类及制品,茴蒿,6.1,5.6,3.3,Tr,15,黑龙江
蔬菜类及制品,黄花菜（鲜）,5.6,7.2,1.2,0.1,14,黑龙江
蔬菜类及制品,大白菜,6.2,4.4,2.2,1.2,14,黑龙江
蔬菜类及制品,油麦菜,5.7,4.9,1.6,1.3,13,黑龙江
蔬菜类及制品,竹笋,5.1,5.2,1.3,1.8,13,黑龙江
蔬菜类及制品,黄笋,1.7,1.1,2.7,6.3,12,黑龙江
蔬菜类及制品,大头菜,4.4,4.8,0.5,Tr,10,黑龙江
蔬菜类及制品,菠菜,2.8,1.4,2.3,1.4,8,黑龙江
